type,prix,adresse,image
Baskets Adidas Adizero,27 000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5550760_uploaded_image1_1759250198.jpg
Baskets Nike TN,18 000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5550746_uploaded_image1_1759249989.jpg
Baskets New Balance 740,24 000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5589017_uploaded_image1_1761305990.jpg
Baskets Nike Air force 1,25 000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5588993_uploaded_image1_1761304542.jpg
Baskets Asic,25 000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5588722_uploaded_image1_1761293983.jpg
Nike Air Max ,25 000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5555902_uploaded_image1_1759447574.jpg
Baskets Air force montante ,18 000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5549311_uploaded_image1_1759187054.jpg
Chaussures Nike shox,25 000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5560200_uploaded_image1_1759705337.jpg
New Balance ,27 000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5560198_uploaded_image1_1759705125.jpg
Asic Gel Nyc,25 000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5588303_uploaded_image1_1761261141.jpg
Baskets Nike Air force ,25 000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5588276_uploaded_image1_1761258377.jpg
Baskets Nike Air force 1 ,25 000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5588272_uploaded_image1_1761258036.jpg
Chaussures homme ,8 000,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5591956_uploaded_image1_1761508658.jpg
Chaussures Air f1,20 000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5548969_uploaded_image1_1759170133.jpg
Baskets Air force,18 000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5548972_uploaded_image1_1759170249.jpg
Baskets Asic kayono,25 000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5548956_uploaded_image1_1759169555.jpg
Chaussures New Balance 530,20 000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5548965_uploaded_image1_1759169877.jpg
Sandales Dior Alpha ,17 000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5548962_uploaded_image1_1759169765.jpg
Chaussures Nike shox ,27 000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5548942_uploaded_image1_1759169016.jpg
Chaussures New Balance 740 ,22 000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5548951_uploaded_image1_1759169363.jpg
Baskets Nike shox ,27 000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5548948_uploaded_image1_1759169257.jpg
Chaussures Af1 ,16 000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5548935_uploaded_image1_1759168746.jpg
Chaussures Af1 ,20 000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5548937_uploaded_image1_1759168841.jpg
Baskets Jordan 4 ,25 000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5548928_uploaded_image1_1759168475.jpg
Chaussures Af1 authentique ,13 000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5548932_uploaded_image1_1759168637.jpg
Baskets Jordan 3 original ,20 000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5548923_uploaded_image1_1759168249.jpg
Baskets New Balance 740,22 000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5548919_uploaded_image1_1759168129.jpg
Chaussures Asic gel Nyc original ,25 000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5548916_uploaded_image1_1759168020.jpg
Chaussures Asie  gel Nyc ,25 000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5548913_uploaded_image1_1759167875.jpg
Baskets New Balance 2000 ,27 000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5548908_uploaded_image1_1759167685.jpg
Baskets Adidas samba ,21 000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5548904_uploaded_image1_1759167399.jpg
Chaussures Asic Gel 1130 ,25 000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5548901_uploaded_image1_1759167299.jpg
Chaussures Nike vomero 5 ,27 000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5548897_uploaded_image1_1759167093.jpg
Chaussures  Nike Alphafly 3,27 000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5548894_uploaded_image1_1759166877.jpg
Chaussures Nike vomero 5 original ,27 000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5548896_uploaded_image1_1759166973.jpg
Chaussures  homme,15 000,"Point E, Dakar, Sénégal",https://images.coinafrique.com/thumb_5589248_uploaded_image1_1761315501.jpg
Balenciaga,25 000,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5588338_uploaded_image1_1761263231.jpg
Chaussures homme,9 500,"Sicap Liberté, Dakar, Sénégal",https://images.coinafrique.com/thumb_5586755_uploaded_image1_1761166890.jpg
Chaussures pour homme,20 000,"Mbao, Dakar, Sénégal",https://images.coinafrique.com/thumb_5583378_uploaded_image1_1760988854.jpg
Sandales en cuir ,13 000,"HLM, Dakar, Sénégal",https://images.coinafrique.com/thumb_5582962_uploaded_image1_1760973522.jpg
Chaussures pour homme,5 000,"Sicap foire, Dakar, Sénégal",https://images.coinafrique.com/thumb_5582673_uploaded_image1_1760964398.jpg
